Frequency,Amplitude,Phase
10.0,24.079626992036026,-25.399600410323394
10.233402121916418,23.347378876536744,-26.010901772583594
10.472251898884348,24.13106406867945,-7.481664735966369
10.716676480328633,24.268329991070434,29.324744127584204
10.966805983368685,26.490587602001476,6.135130288165755
11.222773562085077,23.174217651913324,18.610178378589694
11.484715478402896,21.08522486600765,4.559244888606678
11.752771174629451,23.95698201287601,27.025093033457466
12.02708334768512,21.169982201709395,-15.369699746552183
12.307798025066651,22.916377242951366,18.147279429840736
12.595064642583576,21.375545055277883,36.9452089663837
12.889036123908928,26.099093829982586,17.387603731530724
13.189868961986699,26.423435664495393,14.35055816842636
13.497723302339425,20.704669581669318,38.95544200614684
13.812763028320095,25.958816808373577,-22.254600964833642
14.135155848353957,22.069478605893686,-2.756004553548774
14.465073385216463,19.504078792990207,-15.381262781095742
14.802691267395094,18.284274726954642,17.596273933674006
15.148189222583458,22.834930526128325,29.50132731320152
15.501751173357704,21.83090377389975,-11.186407904740907
15.863565335085905,23.424451582881467,36.3300248979819
16.23382431612278,21.55077195202611,-21.88436585803131
16.61272522034293,21.864839376549327,-24.26701260171545
17.000469752067172,24.291518764328337,-3.8830470887125195
17.397264323438016,20.380533843328983,10.090792094994057
17.803320164301137,22.27108457162079,30.987725588319286
18.21885343465167,21.830582673027948,17.946495369793645
18.644085339704862,24.631188384445842,21.29185115114793
19.07924224765266,22.591088751453494,9.151746840055374
19.52455581016861,18.15704027250829,-16.173383520061087
19.980263085725507,24.554014569285656,18.595177805419958
20.446606665791165,20.295363695482763,-13.347931311607432
20.92383480396977,17.421714317476987,-21.39631723132476
21.412201548157295,18.095887676740176,12.42181729299287
21.911966875781495,19.849987696919527,23.65892153451196
22.423396832198463,20.85536824567121,21.148292343890304
22.94676367231936,20.020625169847943,-24.191978503869503
23.482346005542762,21.678779148891458,18.1803472446707
24.030428944069683,20.05958882821058,7.506135076819511
24.591304254680452,19.326916151827522,-9.468437088615392
25.165270514053915,19.18870004078606,-2.7075066493636335
25.752633267712014,20.932181364901453,33.30544631706782
26.353705192673946,19.157222772493284,-1.1367682608201086
26.968806263906927,16.391039397645184,-10.177382947072516
27.598263924661804,17.014052084184094,-22.72976291976783
28.242413260784357,23.638167160954882,-6.631450318102058
28.901597179095102,18.959419374237132,4.042773153716375
29.576166589932537,21.011279513725825,28.2060381643322
30.26648059395692,14.12009328563869,43.82047934558538
30.972906673314085,16.807374545485683,-13.137103472226524
31.695820887261153,21.910109544655406,5.390678509360363
32.435608072358114,16.766563505976464,-27.02406595509654
33.1926620473319,19.98394252442784,36.99078045170789
33.96738582272208,14.45404086123558,39.49754073298956
34.76019181541977,18.867235179244595,15.811364793751238
35.57150206821386,17.740941346482373,-25.51788586027763
36.401748474461414,17.713605650687345,5.813946595800736
37.25137300800211,14.509103340698877,26.097445733634935
38.12082795843888,16.25072025649307,17.41270145949644
39.01057617190993,16.820346503562494,39.949782897503695
39.921091297480515,13.156858134222134,16.489926690504518
